,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,08:58,2.680972396533576,0.02921775994444444,4008.4,0.0138541756578081,16.4
10,08:59,7.88088510746472,0.119514777861111,5525.0,0.113397842817779,25.0
36,09:00,14.6694298530283,0.466684581083333,1671.0,0.293394349600273,12.0
62,09:01,9.83967410650986,0.479060934972222,1692.0,0.362760508551153,1.0
88,09:02,14.8132928845273,0.965683623527778,2000.0,0.566218096419132,5.0
114,09:03,21.3673587896479,1.75708377652778,6139.0,0.875507751288822,53.0
139,09:04,23.0388103077859,2.278983743,1615.0,0.996833414954433,7.6
164,09:05,20.6448718529439,2.37552014194444,1919.0,1.09150090914576,12.0
190,09:06,23.2799350881848,3.06713125322222,5405.0,1.37739652835135,36.0
216,09:07,24.7495969776552,3.67559669022222,5938.0,1.58045891083964,40.0
243,09:08,25.466945136962,4.21271558105555,5844.0,1.79009701551716,64.0
269,09:09,27.3164821226775,4.97127814027777,1724.0,2.01879550729173,4.2
294,09:10,25.0435439225206,4.97127814027777,1707.0,2.08150560515974,7.4
320,09:11,25.4847464874896,5.49506676363889,1846.0,2.23980846275423,10.0
346,09:12,26.9355602045841,6.25669500147222,6345.0,2.51193212567785,29.0
371,09:13,27.2265614929007,6.7696881875,5803.0,2.71834415641065,60.0
397,09:14,30.0948167749735,7.98830327447222,7169.0,3.18266113293077,77.0
422,09:15,32.5259200566155,9.16584377016666,7574.0,3.64819617366875,77.0
447,09:16,34.8861302340185,10.4135287996111,7411.0,4.12895006470934,76.0
473,09:17,36.6118581963492,11.5434634076944,4865.0,4.56517910873618,31.0
499,09:18,37.1688626376953,12.3492431946111,7536.0,4.86910780468734,77.0
524,09:19,36.4241734523403,12.6960875599444,6045.0,4.96286404561542,39.0
550,09:20,36.8283824280251,13.4584149717222,1724.0,5.17439091342941,8.6
576,09:21,36.9586356218235,14.1245624706667,6783.0,5.43519544549057,31.0
601,09:22,36.5463254457271,14.5825520954167,4563.0,5.59669628838636,20.0
626,09:23,36.4746013017992,15.1511953917222,6463.0,5.8115560170437,31.0
651,09:24,36.4141730422102,15.7297120456944,4707.0,6.04738352303423,19.0
